time,position,velocity
0.651,0.454,-0.333
0.655,0.453,-0.25
0.658,0.452,-0.333
0.662,0.451,-0.25
0.665,0.45,-0.333
0.669,0.449,-0.25
0.672,0.448,-0.333
0.675,0.447,-0.333
0.678,0.446,-0.333
0.682,0.445,-0.25
0.685,0.444,-0.333
0.689,0.443,-0.25
0.692,0.442,-0.333
0.695,0.441,-0.333
0.698,0.44,-0.333
0.702,0.439,-0.25
0.705,0.438,-0.333
0.709,0.437,-0.25
0.712,0.436,-0.333
0.715,0.435,-0.333
0.719,0.434,-0.25
0.722,0.433,-0.333
0.725,0.432,-0.333
0.729,0.431,-0.25
0.732,0.43,-0.333
0.736,0.429,-0.25
0.739,0.428,-0.333
0.743,0.427,-0.25
0.746,0.426,-0.333
0.75,0.425,-0.25
0.753,0.424,-0.333
0.757,0.423,-0.25
0.76,0.422,-0.333
0.763,0.421,-0.333
0.766,0.42,-0.333
0.77,0.419,-0.25
0.773,0.418,-0.333
0.777,0.417,-0.25
0.78,0.416,-0.333
0.784,0.415,-0.25
0.787,0.414,-0.333
0.791,0.413,-0.25
0.795,0.412,-0.25
0.799,0.411,-0.25
0.802,0.41,-0.333
0.807,0.409,-0.2
0.81,0.408,-0.333
0.814,0.407,-0.25
0.817,0.406,-0.333
0.821,0.405,-0.25
0.824,0.404,-0.333
0.828,0.403,-0.25
0.831,0.402,-0.333
0.835,0.401,-0.25
0.838,0.4,-0.333
0.842,0.399,-0.25
0.845,0.398,-0.333
0.849,0.397,-0.25
0.852,0.396,-0.333
0.856,0.395,-0.25
0.859,0.394,-0.333
0.863,0.393,-0.25
0.867,0.392,-0.25
0.87,0.391,-0.333
0.874,0.39,-0.25
0.878,0.389,-0.25
0.881,0.388,-0.333
0.885,0.387,-0.25
0.889,0.386,-0.25
0.892,0.385,-0.333
0.896,0.384,-0.25
0.9,0.383,-0.25
0.904,0.382,-0.25
0.908,0.381,-0.25
0.911,0.38,-0.333
0.916,0.379,-0.2
0.919,0.378,-0.333
0.923,0.377,-0.25
0.926,0.376,-0.333
0.929,0.375,-0.333
0.934,0.374,-0.2
0.938,0.373,-0.25
0.941,0.372,-0.333
0.944,0.371,-0.333
0.948,0.37,-0.25
0.952,0.369,-0.25
0.956,0.368,-0.25
0.959,0.367,-0.333
0.963,0.366,-0.25
0.968,0.365,-0.2
0.971,0.364,-0.333
0.975,0.363,-0.25
0.978,0.362,-0.333
0.982,0.361,-0.25
0.986,0.36,-0.25
0.99,0.359,-0.25
0.993,0.358,-0.333
0.997,0.357,-0.25
1.0,0.356,-0.333
1.004,0.355,-0.25
1.008,0.354,-0.25
1.012,0.353,-0.25
1.016,0.352,-0.25
1.02,0.351,-0.25
1.023,0.35,-0.333
1.027,0.349,-0.25
1.031,0.348,-0.25
1.035,0.347,-0.25
1.038,0.346,-0.333
1.043,0.345,-0.2
1.047,0.344,-0.25
1.051,0.343,-0.25
1.055,0.342,-0.25
1.059,0.341,-0.25
1.063,0.34,-0.25
1.068,0.339,-0.2
1.072,0.338,-0.25
1.076,0.337,-0.25
1.079,0.336,-0.333
1.083,0.335,-0.25
1.088,0.334,-0.2
1.092,0.333,-0.25
1.096,0.332,-0.25
1.1,0.331,-0.25
1.104,0.33,-0.25
1.108,0.329,-0.25
1.112,0.328,-0.25
1.117,0.327,-0.2
1.12,0.326,-0.333
1.123,0.325,-0.333
