,Unnamed: 0,time,position,velocity
0,0,0.0,0.7,0.0
1,2,0.01,0.686,1.4
2,3,0.02,0.68,0.6
3,4,0.03,0.674,0.6
4,5,0.04,0.668,0.6
5,6,0.05,0.661,0.7
6,7,0.06,0.655,0.6
7,8,0.07,0.648,0.7
8,9,0.08,0.641,0.7
9,10,0.09,0.634,0.7
10,11,0.1,0.627,0.7
11,12,0.11,0.621,0.6
12,13,0.12,0.614,0.7
13,14,0.13,0.609,0.5
14,15,0.14,0.604,0.5
15,16,0.15,0.598,0.6
16,17,0.16,0.593,0.5
17,18,0.17,0.588,0.5
18,19,0.18,0.583,0.5
19,20,0.19,0.577,0.6
20,21,0.2,0.572,0.5
21,22,0.21,0.567,0.5
22,23,0.22,0.561,0.6
23,24,0.23,0.556,0.5
24,25,0.24,0.551,0.5
25,26,0.25,0.546,0.5
26,27,0.26,0.542,0.4
27,28,0.27,0.536,0.6
28,29,0.28,0.531,0.5
29,30,0.29,0.526,0.5
30,31,0.3,0.521,0.5
31,32,0.31,0.517,0.4
32,33,0.32,0.512,0.5
33,34,0.33,0.507,0.5
34,35,0.34,0.502,0.5
35,36,0.35,0.497,0.5
36,37,0.36,0.491,0.6
37,38,0.37,0.487,0.4
38,39,0.38,0.482,0.5
39,40,0.39,0.478,0.4
40,41,0.4,0.473,0.5
41,42,0.41,0.469,0.4
42,43,0.42,0.464,0.5
43,44,0.43,0.46,0.4
44,45,0.44,0.455,0.5
45,46,0.45,0.45,0.5
46,47,0.46,0.446,0.4
47,48,0.47,0.441,0.5
48,49,0.48,0.436,0.5
49,50,0.49,0.432,0.4
50,51,0.5,0.428,0.4
51,52,0.51,0.423,0.5
52,53,0.52,0.419,0.4
53,54,0.53,0.414,0.5
54,55,0.54,0.409,0.5
55,56,0.55,0.405,0.4
56,57,0.56,0.402,0.3
57,58,0.57,0.399,0.3
58,59,0.58,0.395,0.4
59,60,0.59,0.391,0.4
60,61,0.6,0.386,0.5
61,62,0.61,0.381,0.5
62,63,0.62,0.377,0.4
63,64,0.63,0.373,0.4
64,65,0.64,0.369,0.4
65,66,0.65,0.366,0.3
66,67,0.66,0.362,0.4
67,68,0.67,0.358,0.4
68,69,0.68,0.354,0.4
69,70,0.69,0.35,0.4
70,71,0.7,0.347,0.3
71,72,0.71,0.343,0.4
72,73,0.72,0.339,0.4
73,74,0.73,0.336,0.3
74,75,0.74,0.332,0.4
75,76,0.75,0.328,0.4
76,77,0.76,0.324,0.4
77,78,0.77,0.32,0.4
78,79,0.78,0.316,0.4
79,80,0.79,0.313,0.3
80,81,0.8,0.309,0.4
81,82,0.81,0.305,0.4
82,83,0.82,0.301,0.4
83,84,0.83,0.298,0.3
84,85,0.84,0.295,0.3
85,86,0.85,0.292,0.3
86,87,0.86,0.288,0.4
87,88,0.87,0.284,0.4
88,89,0.88,0.28,0.4
89,90,0.89,0.277,0.3
90,91,0.9,0.274,0.3
91,92,0.91,0.27,0.4
92,93,0.92,0.266,0.4
93,94,0.93,0.263,0.3
94,95,0.94,0.259,0.4
95,96,0.95,0.255,0.4
96,97,0.96,0.251,0.4
97,98,0.97,0.248,0.3
98,99,0.98,0.245,0.3
99,100,0.99,0.241,0.4
100,101,1.0,0.238,0.3
101,102,1.01,0.234,0.4
102,103,1.02,0.23,0.4
103,104,1.03,0.226,0.4
104,105,1.04,0.223,0.3
105,106,1.05,0.22,0.3
106,107,1.06,0.217,0.3
107,108,1.07,0.214,0.3
108,109,1.08,0.211,0.3
109,110,1.09,0.208,0.3
110,111,1.1,0.204,0.4
111,112,1.11,0.201,0.3
112,113,1.12,0.198,0.3
113,114,1.13,0.195,0.3
114,115,1.14,0.192,0.3
115,116,1.15,0.189,0.3
116,117,1.16,0.186,0.3
117,118,1.17,0.183,0.3
118,119,1.18,0.18,0.3
119,120,1.19,0.177,0.3
120,121,1.2,0.173,0.4
121,122,1.21,0.17,0.3
122,123,1.22,0.167,0.3
123,124,1.23,0.163,0.4
124,125,1.24,0.16,0.3
125,126,1.25,0.157,0.3
126,127,1.26,0.154,0.3
127,128,1.27,0.151,0.3
128,129,1.28,0.148,0.3
129,130,1.29,0.145,0.3
130,131,1.3,0.142,0.3
131,132,1.31,0.139,0.3
132,133,1.32,0.136,0.3
133,134,1.33,0.133,0.3
134,135,1.34,0.13,0.3
135,136,1.35,0.127,0.3
136,137,1.36,0.124,0.3
137,138,1.37,0.121,0.3
138,139,1.38,0.118,0.3
139,140,1.39,0.115,0.3
140,141,1.4,0.112,0.3
141,142,1.41,0.109,0.3
142,143,1.42,0.106,0.3
143,144,1.43,0.103,0.3
144,145,1.44,0.1,0.3
145,146,1.45,0.097,0.3
146,147,1.46,0.094,0.3
147,148,1.47,0.091,0.3
148,149,1.48,0.088,0.3
149,150,1.49,0.085,0.3
150,151,1.5,0.082,0.3
151,152,1.51,0.079,0.3
152,153,1.52,0.076,0.3
153,154,1.53,0.074,0.2
154,155,1.54,0.071,0.3
155,156,1.55,0.068,0.3
156,157,1.56,0.065,0.3
157,158,1.57,0.062,0.3
158,159,1.58,0.059,0.3
159,160,1.59,0.057,0.2
160,161,1.6,0.054,0.3
161,162,1.61,0.051,0.3
162,163,1.62,0.048,0.3
163,164,1.63,0.045,0.3
