time,position,velocity
0.0,0.7,0.0
0.001,0.699,-1.0
0.003,0.698,-0.5
0.005,0.697,-0.5
0.007,0.696,-0.5
0.009,0.695,-0.5
0.011,0.694,-0.5
0.014,0.693,-0.333
0.016,0.692,-0.5
0.018,0.691,-0.5
0.02,0.69,-0.5
0.022,0.689,-0.5
0.024,0.688,-0.5
0.026,0.687,-0.5
0.028,0.686,-0.5
0.03,0.685,-0.5
0.032,0.684,-0.5
0.034,0.683,-0.5
0.037,0.682,-0.333
0.039,0.681,-0.5
0.041,0.68,-0.5
0.044,0.679,-0.333
0.046,0.678,-0.5
0.049,0.677,-0.333
0.051,0.676,-0.5
0.053,0.675,-0.5
0.055,0.674,-0.5
0.058,0.673,-0.333
0.06,0.672,-0.5
0.063,0.671,-0.333
0.065,0.67,-0.5
0.068,0.669,-0.333
0.07,0.668,-0.5
0.072,0.667,-0.5
0.075,0.666,-0.333
0.077,0.665,-0.5
0.079,0.664,-0.5
0.082,0.663,-0.333
0.084,0.662,-0.5
0.086,0.661,-0.5
0.088,0.66,-0.5
0.09,0.659,-0.5
0.093,0.658,-0.333
0.095,0.657,-0.5
0.098,0.656,-0.333
0.1,0.655,-0.5
0.102,0.654,-0.5
0.104,0.653,-0.5
0.106,0.652,-0.5
0.109,0.651,-0.333
0.111,0.65,-0.5
0.114,0.649,-0.333
0.116,0.648,-0.5
0.119,0.647,-0.333
0.121,0.646,-0.5
0.123,0.645,-0.5
0.126,0.644,-0.333
0.129,0.643,-0.333
0.131,0.642,-0.5
0.134,0.641,-0.333
0.136,0.64,-0.5
0.138,0.639,-0.5
0.141,0.638,-0.333
0.143,0.637,-0.5
0.146,0.636,-0.333
0.148,0.635,-0.5
0.151,0.634,-0.333
0.153,0.633,-0.5
0.155,0.632,-0.5
0.158,0.631,-0.333
0.16,0.63,-0.5
0.163,0.629,-0.333
0.165,0.628,-0.5
0.168,0.627,-0.333
0.17,0.626,-0.5
0.172,0.625,-0.5
0.175,0.624,-0.333
0.177,0.623,-0.5
0.179,0.622,-0.5
0.182,0.621,-0.333
0.184,0.62,-0.5
0.187,0.619,-0.333
0.189,0.618,-0.5
0.192,0.617,-0.333
0.194,0.616,-0.5
0.197,0.615,-0.333
0.199,0.614,-0.5
0.203,0.613,-0.25
0.205,0.612,-0.5
0.207,0.611,-0.5
0.209,0.61,-0.5
0.212,0.609,-0.333
0.214,0.608,-0.5
0.217,0.607,-0.333
0.22,0.606,-0.333
0.222,0.605,-0.5
0.224,0.604,-0.5
0.227,0.603,-0.333
0.23,0.602,-0.333
0.232,0.601,-0.5
0.235,0.6,-0.333
0.238,0.599,-0.333
0.24,0.598,-0.5
0.242,0.597,-0.5
0.244,0.596,-0.5
0.247,0.595,-0.333
0.249,0.594,-0.5
0.252,0.593,-0.333
0.254,0.592,-0.5
0.257,0.591,-0.333
0.26,0.59,-0.333
0.263,0.589,-0.333
0.265,0.588,-0.5
0.268,0.587,-0.333
0.271,0.586,-0.333
0.274,0.585,-0.333
0.276,0.584,-0.5
0.279,0.583,-0.333
0.281,0.582,-0.5
0.284,0.581,-0.333
0.287,0.58,-0.333
0.289,0.579,-0.5
0.292,0.578,-0.333
0.295,0.577,-0.333
0.297,0.576,-0.5
0.3,0.575,-0.333
