Unnamed: 0,time,position,velocity
544,0.543,0.488,-0.5
548,0.547,0.487,-0.25
551,0.55,0.486,-0.333
554,0.553,0.485,-0.333
557,0.556,0.484,-0.333
560,0.559,0.483,-0.333
563,0.562,0.482,-0.333
567,0.566,0.481,-0.25
570,0.569,0.48,-0.333
574,0.573,0.479,-0.25
577,0.576,0.478,-0.333
580,0.579,0.477,-0.333
582,0.581,0.476,-0.5
586,0.585,0.475,-0.25
589,0.588,0.474,-0.333
592,0.591,0.473,-0.333
595,0.594,0.472,-0.333
599,0.598,0.471,-0.25
601,0.6,0.47,-0.5
605,0.604,0.469,-0.25
607,0.606,0.468,-0.5
610,0.609,0.467,-0.333
614,0.613,0.466,-0.25
617,0.616,0.465,-0.333
620,0.619,0.464,-0.333
623,0.622,0.463,-0.333
625,0.624,0.462,-0.5
628,0.627,0.461,-0.333
632,0.631,0.46,-0.25
635,0.634,0.459,-0.333
638,0.637,0.458,-0.333
642,0.641,0.457,-0.25
645,0.644,0.456,-0.333
648,0.647,0.455,-0.333
651,0.65,0.454,-0.333
655,0.654,0.453,-0.25
658,0.657,0.452,-0.333
662,0.661,0.451,-0.25
665,0.664,0.45,-0.333
668,0.667,0.449,-0.333
672,0.671,0.448,-0.25
676,0.675,0.447,-0.25
678,0.677,0.446,-0.5
682,0.681,0.445,-0.25
685,0.684,0.444,-0.333
689,0.688,0.443,-0.25
692,0.691,0.442,-0.333
695,0.694,0.441,-0.333
698,0.697,0.44,-0.333
702,0.701,0.439,-0.25
705,0.704,0.438,-0.333
709,0.708,0.437,-0.25
712,0.711,0.436,-0.333
716,0.715,0.435,-0.25
719,0.718,0.434,-0.333
723,0.722,0.433,-0.25
726,0.725,0.432,-0.333
729,0.728,0.431,-0.333
732,0.731,0.43,-0.333
736,0.735,0.429,-0.25
739,0.738,0.428,-0.333
743,0.742,0.427,-0.25
746,0.745,0.426,-0.333
750,0.749,0.425,-0.25
754,0.753,0.424,-0.25
757,0.756,0.423,-0.333
761,0.76,0.422,-0.25
765,0.764,0.421,-0.25
768,0.767,0.42,-0.333
771,0.77,0.419,-0.333
775,0.774,0.418,-0.25
778,0.777,0.417,-0.333
781,0.78,0.416,-0.333
785,0.784,0.415,-0.25
789,0.788,0.414,-0.25
793,0.792,0.413,-0.25
796,0.795,0.412,-0.333
800,0.799,0.411,-0.25
803,0.802,0.41,-0.333
807,0.806,0.409,-0.25
811,0.81,0.408,-0.25
815,0.814,0.407,-0.25
818,0.817,0.406,-0.333
822,0.821,0.405,-0.25
825,0.824,0.404,-0.333
830,0.829,0.403,-0.2
834,0.833,0.402,-0.25
837,0.836,0.401,-0.333
841,0.84,0.4,-0.25
845,0.844,0.399,-0.25
848,0.847,0.398,-0.333
852,0.851,0.397,-0.25
855,0.854,0.396,-0.333
859,0.858,0.395,-0.25
863,0.862,0.394,-0.25
867,0.866,0.393,-0.25
870,0.869,0.392,-0.333
874,0.873,0.391,-0.25
878,0.877,0.39,-0.25
882,0.881,0.389,-0.25
885,0.884,0.388,-0.333
889,0.888,0.387,-0.25
892,0.891,0.386,-0.333
896,0.895,0.385,-0.25
899,0.898,0.384,-0.333
903,0.902,0.383,-0.25
907,0.906,0.382,-0.25
911,0.91,0.381,-0.25
914,0.913,0.38,-0.333
