time,position,velocity
0.0,0.7,0.0
0.001,0.699,-1.0
0.003,0.698,-0.5
0.005,0.697,-0.5
0.007,0.696,-0.5
0.009,0.695,-0.5
0.011,0.694,-0.5
0.013,0.693,-0.5
0.015,0.692,-0.5
0.017,0.691,-0.5
0.02,0.69,-0.333
0.022,0.689,-0.5
0.024,0.688,-0.5
0.026,0.687,-0.5
0.028,0.686,-0.5
0.03,0.685,-0.5
0.032,0.684,-0.5
0.034,0.683,-0.5
0.036,0.682,-0.5
0.038,0.681,-0.5
0.04,0.68,-0.5
0.042,0.679,-0.5
0.044,0.678,-0.5
0.046,0.677,-0.5
0.049,0.676,-0.333
0.051,0.675,-0.5
0.052,0.674,-1.0
0.055,0.673,-0.333
0.057,0.672,-0.5
0.06,0.671,-0.333
0.062,0.67,-0.5
0.064,0.669,-0.5
0.066,0.668,-0.5
0.069,0.667,-0.333
0.071,0.666,-0.5
0.074,0.665,-0.333
0.076,0.664,-0.5
0.078,0.663,-0.5
0.08,0.662,-0.5
0.082,0.661,-0.5
0.084,0.66,-0.5
0.087,0.659,-0.333
0.089,0.658,-0.5
0.091,0.657,-0.5
0.094,0.656,-0.333
0.096,0.655,-0.5
0.099,0.654,-0.333
0.101,0.653,-0.5
0.103,0.652,-0.5
0.106,0.651,-0.333
0.108,0.65,-0.5
0.11,0.649,-0.5
0.112,0.648,-0.5
0.115,0.647,-0.333
0.117,0.646,-0.5
0.12,0.645,-0.333
0.122,0.644,-0.5
0.124,0.643,-0.5
0.126,0.642,-0.5
0.129,0.641,-0.333
0.131,0.64,-0.5
0.133,0.639,-0.5
0.136,0.638,-0.333
0.138,0.637,-0.5
0.14,0.636,-0.5
0.142,0.635,-0.5
0.145,0.634,-0.333
0.148,0.633,-0.333
0.15,0.632,-0.5
0.152,0.631,-0.5
0.154,0.63,-0.5
0.157,0.629,-0.333
0.159,0.628,-0.5
0.162,0.627,-0.333
0.164,0.626,-0.5
0.167,0.625,-0.333
0.169,0.624,-0.5
0.172,0.623,-0.333
0.174,0.622,-0.5
0.177,0.621,-0.333
0.179,0.62,-0.5
0.182,0.619,-0.333
0.184,0.618,-0.5
0.186,0.617,-0.5
0.188,0.616,-0.5
0.191,0.615,-0.333
0.193,0.614,-0.5
0.196,0.613,-0.333
0.199,0.612,-0.333
0.201,0.611,-0.5
0.203,0.61,-0.5
0.206,0.609,-0.333
0.208,0.608,-0.5
0.211,0.607,-0.333
0.214,0.606,-0.333
0.216,0.605,-0.5
0.219,0.604,-0.333
0.222,0.603,-0.333
0.224,0.602,-0.5
0.227,0.601,-0.333
0.229,0.6,-0.5
0.232,0.599,-0.333
0.235,0.598,-0.333
0.237,0.597,-0.5
0.239,0.596,-0.5
0.242,0.595,-0.333
0.244,0.594,-0.5
0.246,0.593,-0.5
0.248,0.592,-0.5
0.251,0.591,-0.333
0.254,0.59,-0.333
0.257,0.589,-0.333
0.26,0.588,-0.333
0.262,0.587,-0.5
0.265,0.586,-0.333
0.268,0.585,-0.333
0.27,0.584,-0.5
0.273,0.583,-0.333
0.276,0.582,-0.333
0.279,0.581,-0.333
0.282,0.58,-0.333
0.285,0.579,-0.333
0.287,0.578,-0.5
0.29,0.577,-0.333
0.292,0.576,-0.5
0.295,0.575,-0.333
