time,position,velocity
0.533,0.455,-0.5
0.537,0.454,-0.25
0.54,0.453,-0.333
0.542,0.452,-0.5
0.545,0.451,-0.333
0.548,0.45,-0.333
0.551,0.449,-0.333
0.553,0.448,-0.5
0.556,0.447,-0.333
0.559,0.446,-0.333
0.562,0.445,-0.333
0.565,0.444,-0.333
0.568,0.443,-0.333
0.57,0.442,-0.5
0.573,0.441,-0.333
0.575,0.44,-0.5
0.579,0.439,-0.25
0.581,0.438,-0.5
0.584,0.437,-0.333
0.586,0.436,-0.5
0.589,0.435,-0.333
0.592,0.434,-0.333
0.595,0.433,-0.333
0.597,0.432,-0.5
0.6,0.431,-0.333
0.603,0.43,-0.333
0.605,0.429,-0.5
0.608,0.428,-0.333
0.611,0.427,-0.333
0.613,0.426,-0.5
0.616,0.425,-0.333
0.619,0.424,-0.333
0.622,0.423,-0.333
0.624,0.422,-0.5
0.627,0.421,-0.333
0.63,0.42,-0.333
0.633,0.419,-0.333
0.636,0.418,-0.333
0.639,0.417,-0.333
0.642,0.416,-0.333
0.645,0.415,-0.333
0.648,0.414,-0.333
0.651,0.413,-0.333
0.653,0.412,-0.5
0.656,0.411,-0.333
0.658,0.41,-0.5
0.662,0.409,-0.25
0.665,0.408,-0.333
0.668,0.407,-0.333
0.67,0.406,-0.5
0.674,0.405,-0.25
0.676,0.404,-0.5
0.679,0.403,-0.333
0.681,0.402,-0.5
0.685,0.401,-0.25
0.687,0.4,-0.5
0.69,0.399,-0.333
0.693,0.398,-0.333
0.696,0.397,-0.333
0.699,0.396,-0.333
0.702,0.395,-0.333
0.705,0.394,-0.333
0.708,0.393,-0.333
0.71,0.392,-0.5
0.713,0.391,-0.333
0.716,0.39,-0.333
0.719,0.389,-0.333
0.721,0.388,-0.5
0.725,0.387,-0.25
0.727,0.386,-0.5
0.73,0.385,-0.333
0.733,0.384,-0.333
0.736,0.383,-0.333
0.739,0.382,-0.333
0.742,0.381,-0.333
0.744,0.38,-0.5
0.748,0.379,-0.25
0.751,0.378,-0.333
0.754,0.377,-0.333
0.756,0.376,-0.5
0.759,0.375,-0.333
0.762,0.374,-0.333
0.765,0.373,-0.333
0.768,0.372,-0.333
0.771,0.371,-0.333
0.774,0.37,-0.333
0.778,0.369,-0.25
0.781,0.368,-0.333
0.784,0.367,-0.333
0.786,0.366,-0.5
0.789,0.365,-0.333
0.793,0.364,-0.25
0.796,0.363,-0.333
0.798,0.362,-0.5
0.801,0.361,-0.333
0.804,0.36,-0.333
0.807,0.359,-0.333
0.811,0.358,-0.25
0.814,0.357,-0.333
0.817,0.356,-0.333
0.82,0.355,-0.333
0.823,0.354,-0.333
0.826,0.353,-0.333
0.828,0.352,-0.5
0.832,0.351,-0.25
0.834,0.35,-0.5
0.838,0.349,-0.25
0.841,0.348,-0.333
0.844,0.347,-0.333
0.847,0.346,-0.333
0.851,0.345,-0.25
0.854,0.344,-0.333
0.857,0.343,-0.333
0.86,0.342,-0.333
0.864,0.341,-0.25
0.867,0.34,-0.333
0.87,0.339,-0.333
0.873,0.338,-0.333
0.876,0.337,-0.333
0.879,0.336,-0.333
0.882,0.335,-0.333
0.884,0.334,-0.5
0.888,0.333,-0.25
0.89,0.332,-0.5
0.894,0.331,-0.25
0.897,0.33,-0.333
0.9,0.329,-0.333
0.903,0.328,-0.333
0.907,0.327,-0.25
0.909,0.326,-0.5
0.913,0.325,-0.25
0.916,0.324,-0.333
0.92,0.323,-0.25
0.923,0.322,-0.333
0.926,0.321,-0.333
0.929,0.32,-0.333
0.933,0.319,-0.25
0.936,0.318,-0.333
0.939,0.317,-0.333
0.942,0.316,-0.333
0.945,0.315,-0.333
0.948,0.314,-0.333
0.952,0.313,-0.25
0.955,0.312,-0.333
0.958,0.311,-0.333
0.961,0.31,-0.333
0.965,0.309,-0.25
0.967,0.308,-0.5
0.971,0.307,-0.25
0.974,0.306,-0.333
0.977,0.305,-0.333
0.98,0.304,-0.333
0.984,0.303,-0.25
0.987,0.302,-0.333
0.991,0.301,-0.25
0.994,0.3,-0.333
0.997,0.299,-0.333
1.0,0.298,-0.333
1.004,0.297,-0.25
1.007,0.296,-0.333
1.011,0.295,-0.25
1.014,0.294,-0.333
1.018,0.293,-0.25
1.021,0.292,-0.333
1.024,0.291,-0.333
1.027,0.29,-0.333
1.031,0.289,-0.25
1.035,0.288,-0.25
1.038,0.287,-0.333
